date,indoorSense.iAQ
9/26/2020 3:20:48.938000000 PM,650
9/26/2020 3:20:51.018000000 PM,652
9/26/2020 3:20:54.385000000 PM,652
9/26/2020 3:20:56.468000000 PM,655
9/26/2020 3:20:58.551000000 PM,657
9/26/2020 3:21:00.633000000 PM,657
9/26/2020 3:21:02.711000000 PM,657
9/26/2020 3:21:04.797000000 PM,657
9/26/2020 3:21:06.879000000 PM,660
9/26/2020 3:21:08.963000000 PM,660
9/26/2020 3:21:11.053000000 PM,662
9/26/2020 3:21:13.139000000 PM,662
9/26/2020 3:21:15.221000000 PM,665
9/26/2020 3:21:17.299000000 PM,665
9/26/2020 3:21:19.385000000 PM,665
9/26/2020 3:21:21.468000000 PM,665
9/26/2020 3:21:23.551000000 PM,667
9/26/2020 3:21:25.630000000 PM,667
9/26/2020 3:21:27.711000000 PM,670
9/26/2020 3:21:29.793000000 PM,670
9/26/2020 3:21:31.873000000 PM,673
9/26/2020 3:21:33.968000000 PM,673
9/26/2020 3:21:36.054000000 PM,673
9/26/2020 3:21:38.148000000 PM,673
9/26/2020 3:21:40.252000000 PM,675
9/26/2020 3:21:42.352000000 PM,678
9/26/2020 3:21:45.406000000 PM,680
9/26/2020 3:21:47.492000000 PM,680
9/26/2020 3:21:49.573000000 PM,682
9/26/2020 3:21:51.648000000 PM,682
9/26/2020 3:21:53.733000000 PM,682
9/26/2020 3:21:55.819000000 PM,682
9/26/2020 3:21:57.899000000 PM,685
9/26/2020 3:21:59.983000000 PM,688
9/26/2020 3:22:02.058000000 PM,691
9/26/2020 3:22:04.142000000 PM,691
9/26/2020 3:22:06.219000000 PM,691
9/26/2020 3:22:08.299000000 PM,691
9/26/2020 3:22:11.422000000 PM,691
9/26/2020 3:22:13.510000000 PM,693
9/26/2020 3:22:15.590000000 PM,695
9/26/2020 3:22:17.674000000 PM,695
9/26/2020 3:22:19.750000000 PM,693
9/26/2020 3:22:21.831000000 PM,693
9/26/2020 3:22:23.913000000 PM,688
9/26/2020 3:22:25.993000000 PM,685
9/26/2020 3:22:28.072000000 PM,685
9/26/2020 3:22:30.160000000 PM,682
9/26/2020 3:22:32.243000000 PM,680
9/26/2020 3:22:34.323000000 PM,680
9/26/2020 3:22:36.403000000 PM,678
9/26/2020 3:22:38.482000000 PM,678
9/26/2020 3:22:40.564000000 PM,678
9/26/2020 3:22:42.647000000 PM,678
9/26/2020 3:22:44.732000000 PM,680
9/26/2020 3:22:46.815000000 PM,680
9/26/2020 3:22:48.909000000 PM,680
9/26/2020 3:22:50.996000000 PM,680
9/26/2020 3:22:53.071000000 PM,680
9/26/2020 3:22:55.151000000 PM,677
9/26/2020 3:22:57.222000000 PM,674
9/26/2020 3:22:59.310000000 PM,677
9/26/2020 3:23:01.411000000 PM,680
9/26/2020 3:23:03.514000000 PM,682
9/26/2020 3:23:05.603000000 PM,682
9/26/2020 3:23:07.686000000 PM,682
9/26/2020 3:23:09.775000000 PM,682
9/26/2020 3:23:11.851000000 PM,682
9/26/2020 3:23:13.935000000 PM,682
9/26/2020 3:23:16.017000000 PM,682
9/26/2020 3:23:18.090000000 PM,682
9/26/2020 3:23:20.169000000 PM,682
9/26/2020 3:23:22.246000000 PM,685
9/26/2020 3:23:24.333000000 PM,685
9/26/2020 3:23:26.411000000 PM,685
9/26/2020 3:23:28.504000000 PM,687
9/26/2020 3:23:30.584000000 PM,690
9/26/2020 3:23:32.674000000 PM,692
9/26/2020 3:23:34.880000000 PM,695
9/26/2020 3:23:36.962000000 PM,695
9/26/2020 3:23:39.044000000 PM,690
9/26/2020 3:23:41.126000000 PM,690
9/26/2020 3:23:43.208000000 PM,690
9/26/2020 3:23:45.290000000 PM,687
9/26/2020 3:23:47.376000000 PM,690
9/26/2020 3:23:49.454000000 PM,690
9/26/2020 3:23:51.535000000 PM,690
9/26/2020 3:23:53.611000000 PM,690
9/26/2020 3:23:55.697000000 PM,690
9/26/2020 3:23:57.773000000 PM,690
9/26/2020 3:23:59.858000000 PM,687
9/26/2020 3:24:02.017000000 PM,687
9/26/2020 3:24:04.113000000 PM,687
9/26/2020 3:24:06.195000000 PM,687
9/26/2020 3:24:08.275000000 PM,687
9/26/2020 3:24:10.354000000 PM,687
9/26/2020 3:24:12.435000000 PM,687
9/26/2020 3:24:14.523000000 PM,687
9/26/2020 3:24:16.604000000 PM,687
9/26/2020 3:24:18.686000000 PM,687
9/26/2020 3:24:20.769000000 PM,687
9/26/2020 3:24:22.850000000 PM,687
9/26/2020 3:24:24.935000000 PM,687
9/26/2020 3:24:27.014000000 PM,687
9/26/2020 3:24:29.099000000 PM,687
